No,SupplierID,SupplierName,PurchaseDate,ProductName,Qty,PriceEach,TotalPrice
280,Supp-10,SuppName-10,2021-10-17,Product-5,161,7,1127
281,Supp-1,SuppName-1,2021-11-09,Product-1,112,2,224
282,Supp-2,SuppName-2,2021-11-13,Product-2,779,1,779
283,Supp-3,SuppName-3,2021-10-28,Product-3,466,4,1864
284,Supp-4,SuppName-4,2021-10-18,Product-4,148,10,1480
285,Supp-5,SuppName-5,2021-11-07,Product-5,801,8,6408
286,Supp-6,SuppName-6,2021-10-15,Product-1,340,5,1700
287,Supp-7,SuppName-7,2021-12-15,Product-2,8,1,8
288,Supp-8,SuppName-8,2021-11-05,Product-3,935,9,8415
289,Supp-9,SuppName-9,2021-12-15,Product-4,523,3,1569
290,Supp-10,SuppName-10,2021-10-17,Product-5,282,7,1974
291,Supp-1,SuppName-1,2021-10-15,Product-1,381,2,762
292,Supp-2,SuppName-2,2021-11-21,Product-2,992,1,992
293,Supp-3,SuppName-3,2021-12-28,Product-3,356,4,1424
294,Supp-4,SuppName-4,2021-12-15,Product-4,916,10,9160
295,Supp-5,SuppName-5,2021-12-18,Product-5,371,8,2968
296,Supp-6,SuppName-6,2021-12-04,Product-1,226,5,1130
297,Supp-7,SuppName-7,2021-10-26,Product-2,130,1,130
298,Supp-8,SuppName-8,2021-09-30,Product-3,23,9,207
299,Supp-9,SuppName-9,2021-11-07,Product-4,536,3,1608
300,Supp-10,SuppName-10,2021-11-15,Product-5,214,7,1498
301,Supp-1,SuppName-1,2021-10-01,Product-1,372,2,744
302,Supp-2,SuppName-2,2021-10-07,Product-2,732,1,732
303,Supp-3,SuppName-3,2021-11-04,Product-3,270,4,1080
304,Supp-4,SuppName-4,2021-11-24,Product-4,184,10,1840
305,Supp-5,SuppName-5,2021-10-09,Product-5,791,8,6328
306,Supp-6,SuppName-6,2021-11-19,Product-1,465,5,2325
307,Supp-7,SuppName-7,2021-10-29,Product-2,7,1,7
308,Supp-8,SuppName-8,2021-11-28,Product-3,655,9,5895
309,Supp-9,SuppName-9,2021-12-01,Product-4,315,3,945
310,Supp-10,SuppName-10,2021-10-02,Product-5,103,7,721
311,Supp-1,SuppName-1,2021-10-28,Product-1,548,2,1096
312,Supp-2,SuppName-2,2021-11-12,Product-2,131,1,131
313,Supp-3,SuppName-3,2021-11-22,Product-3,155,4,620
314,Supp-4,SuppName-4,2021-10-16,Product-4,837,10,8370
315,Supp-5,SuppName-5,2021-12-10,Product-5,987,8,7896
316,Supp-6,SuppName-6,2021-11-02,Product-1,944,5,4720
317,Supp-7,SuppName-7,2021-12-28,Product-2,424,1,424
318,Supp-8,SuppName-8,2021-10-02,Product-3,767,9,6903
319,Supp-9,SuppName-9,2021-11-22,Product-4,907,3,2721
320,Supp-10,SuppName-10,2021-10-16,Product-5,236,7,1652
321,Supp-1,SuppName-1,2021-11-27,Product-1,654,2,1308
322,Supp-2,SuppName-2,2021-11-18,Product-2,790,1,790
323,Supp-3,SuppName-3,2021-11-16,Product-3,98,4,392
324,Supp-4,SuppName-4,2021-11-20,Product-4,869,10,8690
325,Supp-5,SuppName-5,2021-10-01,Product-5,474,8,3792
326,Supp-6,SuppName-6,2021-12-11,Product-1,369,5,1845
327,Supp-7,SuppName-7,2021-11-08,Product-2,317,1,317
328,Supp-8,SuppName-8,2021-11-28,Product-3,694,9,6246
329,Supp-9,SuppName-9,2021-11-19,Product-4,146,3,438
330,Supp-10,SuppName-10,2021-10-09,Product-5,392,7,2744
331,Supp-1,SuppName-1,2021-11-09,Product-1,952,2,1904
332,Supp-2,SuppName-2,2021-12-14,Product-2,21,1,21
333,Supp-3,SuppName-3,2021-11-06,Product-3,341,4,1364
334,Supp-4,SuppName-4,2021-12-03,Product-4,695,10,6950
335,Supp-5,SuppName-5,2021-11-16,Product-5,52,8,416
336,Supp-6,SuppName-6,2021-11-27,Product-1,502,5,2510
337,Supp-7,SuppName-7,2021-10-14,Product-2,271,1,271
338,Supp-8,SuppName-8,2021-11-12,Product-3,855,9,7695
339,Supp-9,SuppName-9,2021-11-17,Product-4,887,3,2661
340,Supp-10,SuppName-10,2021-12-08,Product-5,777,7,5439
341,Supp-1,SuppName-1,2021-10-26,Product-1,933,2,1866
342,Supp-2,SuppName-2,2021-12-20,Product-2,902,1,902
343,Supp-3,SuppName-3,2021-10-04,Product-3,352,4,1408
344,Supp-4,SuppName-4,2021-11-08,Product-4,856,10,8560
345,Supp-5,SuppName-5,2021-10-23,Product-5,968,8,7744
346,Supp-6,SuppName-6,2021-10-13,Product-1,999,5,4995
347,Supp-7,SuppName-7,2021-10-26,Product-2,451,1,451
348,Supp-8,SuppName-8,2021-12-26,Product-3,965,9,8685
349,Supp-9,SuppName-9,2021-12-19,Product-4,42,3,126
350,Supp-10,SuppName-10,2021-10-08,Product-5,526,7,3682
351,Supp-1,SuppName-1,2021-11-10,Product-1,742,2,1484
352,Supp-2,SuppName-2,2021-11-05,Product-2,534,1,534
353,Supp-3,SuppName-3,2021-10-03,Product-3,351,4,1404
354,Supp-4,SuppName-4,2021-10-03,Product-4,142,10,1420
355,Supp-5,SuppName-5,2021-12-15,Product-5,513,8,4104
356,Supp-6,SuppName-6,2021-11-07,Product-1,553,5,2765
357,Supp-7,SuppName-7,2021-10-19,Product-2,591,1,591
358,Supp-8,SuppName-8,2021-12-19,Product-3,342,9,3078
359,Supp-9,SuppName-9,2021-11-01,Product-4,181,3,543
360,Supp-10,SuppName-10,2021-10-17,Product-5,744,7,5208
361,Supp-1,SuppName-1,2021-12-09,Product-1,672,2,1344
362,Supp-2,SuppName-2,2021-10-10,Product-2,844,1,844
363,Supp-3,SuppName-3,2021-12-23,Product-3,30,4,120
364,Supp-4,SuppName-4,2021-10-04,Product-4,762,10,7620
365,Supp-5,SuppName-5,2021-10-18,Product-5,412,8,3296
366,Supp-6,SuppName-6,2021-11-19,Product-1,880,5,4400
367,Supp-7,SuppName-7,2021-10-08,Product-2,992,1,992
368,Supp-8,SuppName-8,2021-11-30,Product-3,818,9,7362
369,Supp-9,SuppName-9,2021-11-08,Product-4,62,3,186
370,Supp-10,SuppName-10,2021-10-13,Product-5,64,7,448
371,Supp-1,SuppName-1,2021-10-24,Product-1,193,2,386
372,Supp-2,SuppName-2,2021-10-06,Product-2,930,1,930
373,Supp-3,SuppName-3,2021-10-05,Product-3,711,4,2844
374,Supp-4,SuppName-4,2021-11-18,Product-4,270,10,2700
375,Supp-5,SuppName-5,2021-10-16,Product-5,180,8,1440
376,Supp-6,SuppName-6,2021-12-20,Product-1,598,5,2990
377,Supp-7,SuppName-7,2021-12-18,Product-2,54,1,54
378,Supp-8,SuppName-8,2021-10-10,Product-3,804,9,7236
379,Supp-9,SuppName-9,2021-10-18,Product-4,40,3,120
380,Supp-10,SuppName-10,2021-10-11,Product-5,484,7,3388
381,Supp-1,SuppName-1,2021-12-16,Product-1,722,2,1444
382,Supp-2,SuppName-2,2021-12-17,Product-2,29,1,29
383,Supp-3,SuppName-3,2021-10-29,Product-3,818,4,3272
384,Supp-4,SuppName-4,2021-11-17,Product-4,843,10,8430
385,Supp-5,SuppName-5,2021-12-19,Product-5,618,8,4944
386,Supp-6,SuppName-6,2021-11-11,Product-1,356,5,1780
387,Supp-7,SuppName-7,2021-10-22,Product-2,851,1,851
388,Supp-8,SuppName-8,2021-10-09,Product-3,242,9,2178
389,Supp-9,SuppName-9,2021-12-11,Product-4,261,3,783
390,Supp-10,SuppName-10,2021-10-09,Product-5,877,7,6139
391,Supp-1,SuppName-1,2021-10-17,Product-1,736,2,1472
392,Supp-2,SuppName-2,2021-11-29,Product-2,369,1,369
393,Supp-3,SuppName-3,2021-10-08,Product-3,273,4,1092
394,Supp-4,SuppName-4,2021-11-25,Product-4,94,10,940
395,Supp-5,SuppName-5,2021-11-24,Product-5,305,8,2440
396,Supp-6,SuppName-6,2021-11-29,Product-1,392,5,1960
397,Supp-7,SuppName-7,2021-10-20,Product-2,685,1,685
398,Supp-8,SuppName-8,2021-11-02,Product-3,618,9,5562
399,Supp-9,SuppName-9,2021-11-12,Product-4,439,3,1317
400,Supp-10,SuppName-10,2021-10-30,Product-5,74,7,518
